tune,english.csv
modaduta,"Monom (moo language)"
modapota,"Mopán Maya (mop language)"
modaputa,"Mor (Bomberai Peninsula) (moq language)"
modarota,"Moro (mor language)"
modasota,"Mossi (mos language)"
modatota,"Barí (mot language)"
modabuta,"Mogum (mou language)"
modavota,"Mohave (mov language)"
modasuta,"Moi (Congo) (mow language)"
modaxota,"Molima (mox language)"
modavuta,"Shekkacho (moy language)"
modazota,"Gergiko (moz language)"
modazota,"Mukulu (moz language)"
mopomuta,"Mpoto (mpa language)"
mopobota,"Malak Malak (mpb language)"
mopobota,"Mullukmulluk (mpb language)"
mopotuta,"Mangarrayi (mpc language)"
mopodota,"Machinere (mpd language)"
moponuta,"Majang (mpe language)"
mopogota,"Marba (mpg language)"
mopokuta,"Maung (mph language)"
mopoguta,"Mpade (mpi language)"
mopojota,"Martu Wangka (mpj language)"
mopojota,"Wangkajunga (mpj language)"
mopokota,"Mbara (Chad) (mpk language)"
mopolota,"Middle Watut (mpl language)"
mopomota,"Yosondúa Mixtec (mpm language)"
moponota,"Mindiri (mpn language)"
mopoduta,"Miu (mpo language)"
mopopota,"Migabac (mpp language)"
mopoputa,"Matís (mpq language)"
moporota,"Vangunu (mpr language)"
moposota,"Dadibi (mps language)"
mopotota,"Mian (mpt language)"
mopobuta,"Makuráp (mpu language)"
mopovota,"Mungkip (mpv language)"
moposuta,"Mapidian (mpw language)"
mopoxota,"Misima-Panaeati (mpx language)"
mopovuta,"Mapia (mpy language)"
mopozota,"Mpi (mpz language)"
mopamuta,"Maba (Indonesia) (mqa language)"
mopabota,"Mbuko (mqb language)"
mopatuta,"Mangole (mqc language)"
mopanuta,"Matepi (mqe language)"
mopafota,"Momuna (mqf language)"
mopagota,"Kota Bangun Kutai Malay (mqg language)"
mopakuta,"Tlazoyaltepec Mixtec (mqh language)"
mopaguta,"Mariri (mqi language)"
mopajota,"Mamasa (mqj language)"
mopakota,"Rajah Kabunsuwan Manobo (mqk language)"
mopalota,"Mbelime (mql language)"
mopamota,"South Marquesan (mqm language)"
mopanota,"Moronene (mqn language)"
mopaduta,"Modole (mqo language)"
mopapota,"Manipa (mqp language)"
mopaputa,"Minokok (mqq language)"
moparota,"Mander (mqr language)"
mopasota,"West Makian (mqs language)"
mopatota,"Mok (mqt language)"
mopabuta,"Mandari (mqu language)"
mopavota,"Mosimo (mqv language)"
mopasuta,"Murupi (mqw language)"
mopaxota,"Mamuju (mqx language)"
mopavuta,"Manggarai (mqy language)"
mopazota,"Pano (mqz language)"
moromuta,"Mlabri (mra language)"
morobota,"Marino (mrb language)"
morotuta,"Maricopa (mrc language)"
morodota,"Western Magar (mrd language)"
moronuta,"Martha's Vineyard Sign Language (mre language)"
morofota,"Elseng (mrf language)"
morogota,"Mising (mrg language)"
morokuta,"Mara Chin (mrh language)"
moroguta,"Maori (mri language)"
morojota,"Western Mari (mrj language)"
morokota,"Hmwaveke (mrk language)"
morolota,"Mortlockese (mrl language)"
moromota,"Merlav (mrm language)"
moromota,"Mwerlap (mrm language)"
moronota,"Cheke Holo (mrn language)"
moroduta,"Mru (mro language)"
moropota,"Morouas (mrp language)"
moroputa,"North Marquesan (mrq language)"
mororota,"Maria (India) (mrr language)"
morosota,"Maragus (mrs language)"
morotota,"Marghi Central (mrt language)"
morobuta,"Mono (Cameroon) (mru language)"
morovota,"Mangareva (mrv language)"
morosuta,"Maranao (mrw language)"
moroxota,"Dineor (mrx language)"
moroxota,"Maremgi (mrx language)"
morovuta,"Mandaya (mry language)"
morozota,"Marind (mrz language)"
mosomuta,"Malay (macrolanguage) (msa language)"
mosobota,"Masbatenyo (msb language)"
mosotuta,"Sankaran Maninka (msc language)"
mosodota,"Yucatec Maya Sign Language (msd language)"
mosonuta,"Musey (mse language)"
mosofota,"Mekwei (msf language)"
mosogota,"Moraid (msg language)"
mosokuta,"Masikoro Malagasy (msh language)"
mosoguta,"Sabah Malay (msi language)"
mosojota,"Ma (Democratic Republic of Congo) (msj language)"
mosokota,"Mansaka (msk language)"
mosolota,"Molof (msl language)"
mosolota,"Poule (msl language)"
mosomota,"Agusan Manobo (msm language)"
mosonota,"Vurës (msn language)"
mosoduta,"Mombum (mso language)"
mosopota,"Maritsauá (msp language)"
mosoputa,"Caac (msq language)"
mosorota,"Mongolian Sign Language (msr language)"
mososota,"West Masela (mss language)"
mosobuta,"Musom (msu language)"
mosovota,"Maslam (msv language)"
mososuta,"Mansoanka (msw language)"
mosoxota,"Moresada (msx language)"
mosovuta,"Aruamu (msy language)"
mosozota,"Momare (msz language)"
motomuta,"Cotabato Manobo (mta language)"
motobota,"Anyin Morofo (mtb language)"
mototuta,"Munit (mtc language)"
motodota,"Mualang (mtd language)"
motonuta,"Mono (Solomon Islands) (mte language)"
motofota,"Murik (Papua New Guinea) (mtf language)"
motogota,"Una (mtg language)"
motokuta,"Munggui (mth language)"
motoguta,"Maiwa (Papua New Guinea) (mti language)"
motojota,"Moskona (mtj language)"
motokota,"Mbe' (mtk language)"
motolota,"Montol (mtl language)"
motomota,"Mator (mtm language)"
motonota,"Matagalpa (mtn language)"
motoduta,"Totontepec Mixe (mto language)"
motopota,"Wichí Lhamtés Nocten (mtp language)"
motoputa,"Muong (mtq language)"
motorota,"Mewari (mtr language)"
motosota,"Yora (mts language)"
mototota,"Mota (mtt language)"
motobuta,"Tututepec Mixtec (mtu language)"
motovota,"Asaro'o (mtv language)"
motosuta,"Southern Binukidnon (mtw language)"
motoxota,"Tidaá Mixtec (mtx language)"
motovuta,"Nabi (mty language)"
mobamuta,"Mundang (mua language)"
mobabota,"Mubi (mub language)"
mobatuta,"Ajumbu (muc language)"
mobadota,"Mednyj Aleut (mud language)"
mobanuta,"Media Lengua (mue language)"
mobagota,"Musgu (mug language)"
mobakuta,"Mündü (muh language)"
mobaguta,"Musi (mui language)"
mobajota,"Mabire (muj language)"
mobakota,"Mugom (muk language)"
mobalota,"Multiple languages (mul language)"
mobamota,"Maiwala (mum language)"
mobaduta,"Nyong (muo language)"
mobapota,"Malvi (mup language)"
mobaputa,"Eastern Xiangxi Miao (muq language)"
mobarota,"Murle (mur language)"
mobasota,"Creek (mus language)"
mobatota,"Western Muria (mut language)"
mobabuta,"Yaaku (muu language)"
mobavota,"Muthuvan (muv language)"
mobaxota,"Bo-Ung (mux language)"
mobavuta,"Muyang (muy language)"
mobazota,"Mursi (muz language)"
movomuta,"Manam (mva language)"
movobota,"Mattole (mvb language)"
movodota,"Mamboru (mvd language)"
movonuta,"Marwari (Pakistan) (mve language)"
movofota,"Peripheral Mongolian (mvf language)"
movogota,"Yucuañe Mixtec (mvg language)"
movokuta,"Mulgi (mvh language)"
movoguta,"Miyako (mvi language)"
movokota,"Mekmek (mvk language)"
movolota,"Mbara (Australia) (mvl language)"
movonota,"Minaveha (mvn language)"
movoduta,"Marovo (mvo language)"
movopota,"Duri (mvp language)"
movoputa,"Moere (mvq language)"
movorota,"Marau (mvr language)"
movosota,"Massep (mvs language)"
movotota,"Mpotovoro (mvt language)"
movobuta,"Marfa (mvu language)"
movovota,"Tagal Murut (mvv language)"
movosuta,"Machinga (mvw language)"
movoxota,"Meoswar (mvx language)"
movovuta,"Indus Kohistani (mvy language)"
movozota,"Mesqan (mvz language)"
mowomuta,"Mwatebu (mwa language)"
mowobota,"Juwal (mwb language)"
mowotuta,"Are (mwc language)"
mowonuta,"Mwera (Chimwera) (mwe language)"
mowofota,"Murrinh-Patha (mwf language)"
mowogota,"Aiklep (mwg language)"
mowokuta,"Mouk-Aria (mwh language)"
mowoguta,"Labo (mwi language)"
mowoguta,"Ninde (mwi language)"
mowokota,"Kita Maninkakan (mwk language)"
mowolota,"Mirandese (mwl language)"
mowomota,"Sar (mwm language)"
mowonota,"Nyamwanga (mwn language)"
mowoduta,"Central Maewo (mwo language)"
mowopota,"Kala Lagaw Ya (mwp language)"
mowoputa,"Mün Chin (mwq language)"
moworota,"Marwari (mwr language)"
mowosota,"Mwimbi-Muthambi (mws language)"
mowotota,"Moken (mwt language)"
mowobuta,"Mittu (mwu language)"
mowovota,"Mentawai (mwv language)"
mowosuta,"Hmong Daw (mww language)"
mowozota,"Moingi (mwz language)"
moxomuta,"Northwest Oaxaca Mixtec (mxa language)"
moxobota,"Tezoatlán Mixtec (mxb language)"
moxotuta,"Manyika (mxc language)"
moxodota,"Modang (mxd language)"
moxonuta,"Mele-Fila (mxe language)"
moxofota,"Malgbe (mxf language)"
moxogota,"Mbangala (mxg language)"
moxokuta,"Mvuba (mxh language)"
moxoguta,"Mozarabic (mxi language)"
moxojota,"Geman Deng (mxj language)"
moxojota,"Miju-Mishmi (mxj language)"
moxokota,"Monumbo (mxk language)"
moxolota,"Maxi Gbe (mxl language)"
moxomota,"Meramera (mxm language)"
moxonota,"Moi (Indonesia) (mxn language)"
moxoduta,"Mbowe (mxo language)"
moxopota,"Tlahuitoltepec Mixe (mxp language)"
moxoputa,"Juquila Mixe (mxq language)"
moxorota,"Murik (Malaysia) (mxr language)"
moxosota,"Huitepec Mixtec (mxs language)"
moxotota,"Jamiltepec Mixtec (mxt language)"
moxobuta,"Mada (Cameroon) (mxu language)"
moxovota,"Metlatónoc Mixtec (mxv language)"
moxosuta,"Namo (mxw language)"
moxoxota,"Mahou (mxx language)"
moxoxota,"Mawukakan (mxx language)"
moxovuta,"Southeastern Nochixtlán Mixtec (mxy language)"
moxozota,"Central Masela (mxz language)"
moyomuta,"Burmese (mya language)"
moyobota,"Mbay (myb language)"
moyotuta,"Mayeka (myc language)"
moyonuta,"Myene (mye language)"
moyofota,"Bambassi (myf language)"
moyogota,"Manta (myg language)"
moyokuta,"Makah (myh language)"
moyojota,"Mangayat (myj language)"
moyokota,"Mamara Senoufo (myk language)"
moyolota,"Moma (myl language)"
moyomota,"Me'en (mym language)"
moyoduta,"Anfillo (myo language)"
moyopota,"Pirahã (myp language)"
moyorota,"Muniche (myr language)"
moyosota,"Mesmes (mys language)"
moyobuta,"Mundurukú (myu language)"
moyovota,"Erzya (myv language)"
moyosuta,"Muyuw (myw language)"
moyoxota,"Masaaba (myx language)"
moyovuta,"Macuna (myy language)"
moyozota,"Classical Mandaic (myz language)"
mozomuta,"Santa María Zacatepec Mixtec (mza language)"
mozobota,"Tumzabt (mzb language)"
mozotuta,"Madagascar Sign Language (mzc language)"
mozodota,"Malimba (mzd language)"
mozonuta,"Morawa (mze language)"
mozogota,"Monastic Sign Language (mzg language)"
mozokuta,"Wichí Lhamtés Güisnay (mzh language)"
mozoguta,"Ixcatlán Mazatec (mzi language)"
mozojota,"Manya (mzj language)"
mozokota,"Nigeria Mambila (mzk language)"
mozolota,"Mazatlán Mixe (mzl language)"
mozomota,"Mumuye (mzm language)"
mozonota,"Mazanderani (mzn language)"
mozoduta,"Matipuhy (mzo language)"
mozopota,"Movima (mzp language)"
mozoputa,"Mori Atas (mzq language)"
mozorota,"Marúbo (mzr language)"
mozosota,"Macanese (mzs language)"
mozotota,"Mintil (mzt language)"
mozobuta,"Inapang (mzu language)"
mozovota,"Manza (mzv language)"
mozosuta,"Deg (mzw language)"
mozoxota,"Mawayana (mzx language)"
mozovuta,"Mozambican Sign Language (mzy language)"
mozozota,"Maiadomu (mzz language)"
nomamuta,"Namla (naa language)"
nomabota,"Southern Nambikuára (nab language)"
nomatuta,"Narak (nac language)"
nomanuta,"Naka'ela (nae language)"
nomafota,"Nabak (naf language)"
nomagota,"Naga Pidgin (nag language)"
nomajota,"Nalu (naj language)"
nomakota,"Nakanai (nak language)"
nomalota,"Nalik (nal language)"
nomamota,"Ngan'gityemerri (nam language)"
nomanota,"Min Nan Chinese (nan language)"
nomaduta,"Naaba (nao language)"
nomapota,"Neapolitan (nap language)"
nomaputa,"Khoekhoe (naq language)"
nomaputa,"Nama (Namibia) (naq language)"
nomarota,"Iguta (nar language)"
nomasota,"Naasioi (nas language)"
nomatota,"Ca̱hungwa̱rya̱ (nat language)"
nomatota,"Hungworo (nat language)"
nomabuta,"Nauru (nau language)"
nomavota,"Navaho (nav language)"
nomavota,"Navajo (nav language)"
nomasuta,"Nawuri (naw language)"
nomaxota,"Nakwi (nax language)"
nomavuta,"Ngarrindjeri (nay language)"
nomazota,"Coatepec Nahuatl (naz language)"
nobomuta,"Nyemba (nba language)"
nobobota,"Ndoe (nbb language)"
nobotuta,"Chang Naga (nbc language)"
nobodota,"Ngbinda (nbd language)"
nobonuta,"Konyak Naga (nbe language)"
nobogota,"Nagarchal (nbg language)"
nobokuta,"Ngamo (nbh language)"
noboguta,"Mao Naga (nbi language)"
nobojota,"Ngarinyman (nbj language)"
nobokota,"Nake (nbk language)"
nobolota,"South Ndebele (nbl language)"
nobomota,"Ngbaka Ma'bo (nbm language)"
nobonota,"Kuri (nbn language)"
noboduta,"Nkukoli (nbo language)"
nobopota,"Nnam (nbp language)"
noboputa,"Nggem (nbq language)"
noborota,"Numana (nbr language)"
nobosota,"Namibian Sign Language (nbs language)"
nobotota,"Na (nbt language)"
nobobuta,"Rongmei Naga (nbu language)"
nobovota,"Ngamambo (nbv language)"
nobosuta,"Southern Ngbandi (nbw language)"
nobovuta,"Ningera (nby language)"
notamuta,"Iyo (nca language)"
notabota,"Central Nicobarese (ncb language)"
notatuta,"Ponam (ncc language)"
notadota,"Nachering (ncd language)"
notanuta,"Yale (nce language)"
notafota,"Notsi (ncf language)"
notagota,"Nisga'a (ncg language)"
notakuta,"Central Huasteca Nahuatl (nch language)"
notaguta,"Classical Nahuatl (nci language)"
notajota,"Northern Puebla Nahuatl (ncj language)"
notakota,"Na-kara (nck language)"
notalota,"Michoacán Nahuatl (ncl language)"
notamota,"Nambo (ncm language)"
notanota,"Nauna (ncn language)"
notaduta,"Sibe (nco language)"
notaputa,"Northern Katang (ncq language)"
notarota,"Ncane (ncr language)"
notasota,"Nicaraguan Sign Language (ncs language)"
notatota,"Chothe Naga (nct language)"
notabuta,"Chumburung (ncu language)"
notaxota,"Central Puebla Nahuatl (ncx language)"
notazota,"Natchez (ncz language)"
nodomuta,"Ndasa (nda language)"
nodobota,"Kenswei Nsei (ndb language)"
nodotuta,"Ndau (ndc language)"
nododota,"Nde-Nsele-Nta (ndd language)"
nodonuta,"North Ndebele (nde language)"
nodofota,"Nadruvian (ndf language)"
nodogota,"Ndengereko (ndg language)"
nodokuta,"Ndali (ndh language)"
nodoguta,"Samba Leko (ndi language)"
nodojota,"Ndamba (ndj language)"
nodokota,"Ndaka (ndk language)"
nodolota,"Ndolo (ndl language)"
nodomota,"Ndam (ndm language)"
nodonota,"Ngundi (ndn language)"
nododuta,"Ndonga (ndo language)"
nodopota,"Ndo (ndp language)"
nodoputa,"Ndombe (ndq language)"
nodorota,"Ndoola (ndr language)"
nodosota,"Low German (nds language)"
nodosota,"Low Saxon (nds language)"
nodotota,"Ndunga (ndt language)"
nodobuta,"Dugun (ndu language)"
nodovota,"Ndut (ndv language)"
nodosuta,"Ndobo (ndw language)"
nodoxota,"Nduga (ndx language)"
nodovuta,"Lutos (ndy language)"
nodozota,"Ndogo (ndz language)"
nonamuta,"Eastern Ngad'a (nea language)"
nonabota,"Toura (Côte d'Ivoire) (neb language)"
nonatuta,"Nedebang (nec language)"
nonadota,"Nde-Gbite (ned language)"
nonanuta,"Nêlêmwa-Nixumwak (nee language)"
nonafota,"Nefamese (nef language)"
nonagota,"Negidal (neg language)"
nonakuta,"Nyenkha (neh language)"
nonaguta,"Neo-Hittite (nei language)"
nonajota,"Neko (nej language)"
nonakota,"Neku (nek language)"
nonamota,"Nemi (nem language)"
nonanota,"Nengone (nen language)"
nonaduta,"Ná-Meo (neo language)"
nonapota,"Nepali (macrolanguage) (nep language)"
nonaputa,"North Central Mixe (neq language)"
nonarota,"Yahadian (ner language)"
nonasota,"Bhoti Kinnauri (nes language)"
nonatota,"Nete (net language)"
nonabuta,"Neo (neu language)"
nonavota,"Nyaheun (nev language)"
nonasuta,"Nepal Bhasa (new language)"
nonasuta,"Newari (new language)"
nonaxota,"Neme (nex language)"
nonavuta,"Neyo (ney language)"
nonazota,"Nez Perce (nez language)"
nofomuta,"Dhao (nfa language)"
nofodota,"Ahwai (nfd language)"
nofolota,"Äiwoo (nfl language)"
nofolota,"Ayiwo (nfl language)"
noforota,"Nafaanra (nfr language)"
nofobuta,"Mfumte (nfu language)"
nogomuta,"Ngbaka (nga language)"
nogobota,"Northern Ngbandi (ngb language)"
nogotuta,"Ngombe (Democratic Republic of Congo) (ngc language)"
nogodota,"Ngando (Central African Republic) (ngd language)"
nogonuta,"Ngemba (nge language)"
nogogota,"Ngbaka Manza (ngg language)"
nogokuta,"Nǁng (ngh language)"
nogoguta,"Ngizim (ngi language)"
nogojota,"Ngie (ngj language)"
nogokota,"Dalabon (ngk language)"
nogolota,"Lomwe (ngl language)"
nogomota,"Ngatik Men's Creole (ngm language)"
nogonota,"Ngwo (ngn language)"
nogopota,"Ngulu (ngp language)"
nogoputa,"Ngoreme (ngq language)"
nogoputa,"Ngurimi (ngq language)"
nogorota,"Engdewu (ngr language)"
nogosota,"Gvoko (ngs language)"
nogotota,"Kriang (ngt language)"
nogotota,"Ngeq (ngt language)"
nogobuta,"Guerrero Nahuatl (ngu language)"
nogovota,"Nagumi (ngv language)"
nogosuta,"Ngwaba (ngw language)"
nogoxota,"Nggwahyi (ngx language)"
nogovuta,"Tibea (ngy language)"
nogozota,"Ngungwel (ngz language)"
nohomuta,"Nhanda (nha language)"
nohobota,"Beng (nhb language)"
nohotuta,"Tabasco Nahuatl (nhc language)"
nohodota,"Ava Guaraní (nhd language)"
nohodota,"Chiripá (nhd language)"
nohonuta,"Eastern Huasteca Nahuatl (nhe language)"
nohofota,"Nhuwala (nhf language)"
nohogota,"Tetelcingo Nahuatl (nhg language)"
nohokuta,"Nahari (nhh language)"
nohoguta,"Zacatlán-Ahuacatlán-Tepetzintla Nahuatl (nhi language)"
nohokota,"Isthmus-Cosoleacaque Nahuatl (nhk language)"
nohomota,"Morelos Nahuatl (nhm language)"
nohonota,"Central Nahuatl (nhn language)"
nohoduta,"Takuu (nho language)"
nohopota,"Isthmus-Pajapan Nahuatl (nhp language)"
nohoputa,"Huaxcaleca Nahuatl (nhq language)"
nohorota,"Naro (nhr language)"
nohotota,"Ometepec Nahuatl (nht language)"
nohobuta,"Noone (nhu language)"
nohovota,"Temascaltepec Nahuatl (nhv language)"
nohosuta,"Western Huasteca Nahuatl (nhw language)"
nohoxota,"Isthmus-Mecayapan Nahuatl (nhx language)"
nohovuta,"Northern Oaxaca Nahuatl (nhy language)"
nohozota,"Santa María La Alta Nahuatl (nhz language)"
nogamuta,"Nias (nia language)"
nogabota,"Nakame (nib language)"
nogadota,"Ngandi (nid language)"
noganuta,"Niellim (nie language)"
nogafota,"Nek (nif language)"
nogagota,"Ngalakgan (nig language)"
nogakuta,"Nyiha (Tanzania) (nih language)"
nogaguta,"Nii (nii language)"
nogajota,"Ngaju (nij language)"
nogakota,"Southern Nicobarese (nik language)"
nogalota,"Nila (nil language)"
nogamota,"Nilamba (nim language)"
noganota,"Ninzo (nin language)"
nogaduta,"Nganasan (nio language)"
nogaputa,"Nandi (niq language)"
nogarota,"Nimboran (nir language)"
nogasota,"Nimi (nis language)"
nogatota,"Southeastern Kolami (nit language)"
nogabuta,"Niuean (niu language)"
nogavota,"Gilyak (niv language)"
nogasuta,"Nimo (niw language)"
nogaxota,"Hema (nix language)"
nogavuta,"Ngiti (niy language)"
nogazota,"Ningil (niz language)"
nojomuta,"Nzanyi (nja language)"
nojobota,"Nocte Naga (njb language)"
nojodota,"Ndonde Hamba (njd language)"
nojokuta,"Lotha Naga (njh language)"
nojoguta,"Gudanji (nji language)"
nojojota,"Njen (njj language)"
nojolota,"Njalgulgule (njl language)"
nojomota,"Angami Naga (njm language)"
nojonota,"Liangmai Naga (njn language)"
nojoduta,"Ao Naga (njo language)"
nojorota,"Njerep (njr language)"
nojosota,"Nisa (njs language)"
nojotota,"Ndyuka-Trio Pidgin (njt language)"
nojobuta,"Ngadjunmaya (nju language)"
nojoxota,"Kunyi (njx language)"
nojovuta,"Njyem (njy language)"
nojozota,"Nyishi (njz language)"
nokomuta,"Nkoya (nka language)"
nokobota,"Khoibu Naga (nkb language)"
nokotuta,"Nkongho (nkc language)"
nokodota,"Koireng (nkd language)"
nokonuta,"Duke (nke language)"
nokofota,"Inpui Naga (nkf language)"
nokogota,"Nekgini (nkg language)"
nokokuta,"Khezha Naga (nkh language)"
nokoguta,"Thangal Naga (nki language)"
nokojota,"Nakai (nkj language)"
nokokota,"Nokuku (nkk language)"
nokomota,"Namat (nkm language)"
nokonota,"Nkangala (nkn language)"
nokoduta,"Nkonya (nko language)"
nokopota,"Niuatoputapu (nkp language)"
nokoputa,"Nkami (nkq language)"
nokorota,"Nukuoro (nkr language)"
nokosota,"North Asmat (nks language)"
nokotota,"Nyika (Tanzania) (nkt language)"
nokobuta,"Bouna Kulango (nku language)"
nokovota,"Nyika (Malawi and Zambia) (nkv language)"
nokosuta,"Nkutu (nkw language)"
nokoxota,"Nkoroo (nkx language)"
nokozota,"Nkari (nkz language)"
nolomuta,"Ngombale (nla language)"
nolotuta,"Nalca (nlc language)"
nolodota,"Dutch (nld language)"
nolodota,"Flemish (nld language)"
nolonuta,"East Nyala (nle language)"
nologota,"Gela (nlg language)"
nologuta,"Grangali (nli language)"
nolojota,"Nyali (nlj language)"
nolokota,"Ninia Yali (nlk language)"
nololota,"Nihali (nll language)"
nolomota,"Mankiyali (nlm language)"
noloduta,"Ngul (nlo language)"
noloputa,"Lao Naga (nlq language)"
nolobuta,"Nchumbulu (nlu language)"
nolovota,"Orizaba Nahuatl (nlv language)"
nolosuta,"Walangama (nlw language)"
noloxota,"Nahali (nlx language)"
nolovuta,"Nyamal (nly language)"
nolozota,"Nalögo (nlz language)"
nomomuta,"Maram Naga (nma language)"
nomobota,"Big Nambas (nmb language)"
nomobota,"V'ënen Taut (nmb language)"
nomotuta,"Ngam (nmc language)"
nomodota,"Ndumu (nmd language)"
nomonuta,"Mzieme Naga (nme language)"
nomofota,"Tangkhul Naga (India) (nmf language)"
nomogota,"Kwasio (nmg language)"
nomokuta,"Monsang Naga (nmh language)"
nomoguta,"Nyam (nmi language)"
nomojota,"Ngombe (Central African Republic) (nmj language)"
nomokota,"Namakura (nmk language)"
nomolota,"Ndemli (nml language)"
nomomota,"Manangba (nmm language)"
nomonota,"ǃXóõ (nmn language)"
nomoduta,"Moyon Naga (nmo language)"
nomopota,"Nimanbur (nmp language)"
nomoputa,"Nambya (nmq language)"
nomorota,"Nimbari (nmr language)"
nomosota,"Letemboi (nms language)"
nomotota,"Namonuito (nmt language)"
nomobuta,"Northeast Maidu (nmu language)"
nomovota,"Ngamini (nmv language)"
nomosuta,"Nimoa (nmw language)"
nomosuta,"Rifao (nmw language)"
nomoxota,"Nama (Papua New Guinea) (nmx language)"
nomovuta,"Namuyi (nmy language)"
nomozota,"Nawdm (nmz language)"
nonomuta,"Nyangumarta (nna language)"
nonobota,"Nande (nnb language)"
nonotuta,"Nancere (nnc language)"
nonodota,"West Ambae (nnd language)"
nononuta,"Ngandyera (nne language)"
nonofota,"Ngaing (nnf language)"
nonogota,"Maring Naga (nng language)"
nonokuta,"Ngiemboon (nnh language)"
nonoguta,"North Nuaulu (nni language)"
nonojota,"Nyangatom (nnj language)"
nonokota,"Nankina (nnk language)"
nonolota,"Northern Rengma Naga (nnl language)"
nonomota,"Namia (nnm language)"
nononota,"Ngete (nnn language)"
nonoduta,"Norwegian Nynorsk (nno language)"
nonopota,"Wancho Naga (nnp language)"
nonoputa,"Ngindo (nnq language)"
nonorota,"Narungga (nnr language)"
nonotota,"Nanticoke (nnt language)"
nonobuta,"Dwang (nnu language)"
nonovota,"Nugunu (Australia) (nnv language)"
nonosuta,"Southern Nuni (nnw language)"
nonovuta,"Nyangga (nny language)"
nonozota,"Nda'nda' (nnz language)"
nodamuta,"Woun Meu (noa language)"
nodabota,"Norwegian Bokmål (nob language)"
nodatuta,"Nuk (noc language)"
nodadota,"Northern Thai (nod language)"
nodanuta,"Nimadi (noe language)"
nodafota,"Nomane (nof language)"
nodagota,"Nogai (nog language)"
nodakuta,"Nomu (noh language)"
nodaguta,"Noiri (noi language)"
nodajota,"Nonuya (noj language)"
nodakota,"Nooksack (nok language)"
nodalota,"Nomlaki (nol language)"
nodamota,"Nocamán (nom language)"
nodanota,"Old Norse (non language)"
nodapota,"Numanggang (nop language)"
nodaputa,"Ngongo (noq language)"
nodarota,"Norwegian (nor language)"
nodasota,"Eastern Nisu (nos language)"
nodatota,"Nomatsiguenga (not language)"
nodabuta,"Ewage-Notu (nou language)"
nodavota,"Novial (nov language)"
nodasuta,"Nyambo (now language)"
nodavuta,"Noy (noy language)"
nodazota,"Nayi (noz language)"
nopomuta,"Nar Phu (npa language)"
nopobota,"Nupbikha (npb language)"
nopogota,"Ponyo-Gongwang Naga (npg language)"
nopokuta,"Phom Naga (nph language)"
nopoguta,"Nepali (individual language) (npi language)"
nopolota,"Southeastern Puebla Nahuatl (npl language)"
noponota,"Mondropolon (npn language)"
nopoduta,"Pochuri Naga (npo language)"
noposota,"Nipsan (nps language)"
nopobuta,"Puimei Naga (npu language)"
nopoxota,"Noipx (npx language)"
nopovuta,"Napu (npy language)"
nopagota,"Southern Nago (nqg language)"
nopakota,"Kura Ede Nago (nqk language)"
nopalota,"Ngendelengo (nql language)"
nopamota,"Ndom (nqm language)"
nopanota,"Nen (nqn language)"
nopaduta,"N'Ko (nqo language)"
nopaputa,"Kyan-Karyaw Naga (nqq language)"
nopatota,"Nteng (nqt language)"
nopavuta,"Akyaung Ari Naga (nqy language)"
noromuta,"Ngom (nra language)"
norobota,"Nara (nrb language)"
norotuta,"Noric (nrc language)"
noronuta,"Southern Rengma Naga (nre language)"
norofota,"Guernésiais (nrf language)"
norofota,"Jèrriais (nrf language)"
norogota,"Narango (nrg language)"
noroguta,"Chokri Naga (nri language)"
norokota,"Ngarla (nrk language)"
norolota,"Ngarluma (nrl language)"
noromota,"Narom (nrm language)"
noronota,"Norn (nrn language)"
noropota,"North Picene (nrp language)"
nororota,"Nora (nrr language)"
nororota,"Norra (nrr language)"
norotota,"Northern Kalapuya (nrt language)"
norobuta,"Narua (nru language)"
noroxota,"Ngurmbur (nrx language)"
norozota,"Lala (nrz language)"
nosomuta,"Sangtam Naga (nsa language)"
nosobota,"Lower Nossob (nsb language)"
nosotuta,"Nshi (nsc language)"
nosodota,"Southern Nisu (nsd language)"
nosonuta,"Nsenga (nse language)"
nosofota,"Northwestern Nisu (nsf language)"
nosogota,"Ngasa (nsg language)"
nosokuta,"Ngoshie (nsh language)"
nosoguta,"Nigerian Sign Language (nsi language)"
nosokota,"Naskapi (nsk language)"
nosolota,"Norwegian Sign Language (nsl language)"
nosomota,"Sumi Naga (nsm language)"
nosonota,"Nehan (nsn language)"
nosoduta,"Northern Sotho (nso language)"
nosoduta,"Pedi (nso language)"
nosoduta,"Sepedi (nso language)"
nosopota,"Nepalese Sign Language (nsp language)"
nosoputa,"Northern Sierra Miwok (nsq language)"
nosorota,"Maritime Sign Language (nsr language)"
nososota,"Nali (nss language)"
nosotota,"Tase Naga (nst language)"
nosobuta,"Sierra Negra Nahuatl (nsu language)"
nosovota,"Southwestern Nisu (nsv language)"
nososuta,"Navut (nsw language)"
nosoxota,"Nsongo (nsx language)"
nosovuta,"Nasal (nsy language)"
nosozota,"Nisenan (nsz language)"
notodota,"Northern Tidung (ntd language)"
notonuta,"Nathembo (nte language)"
notogota,"Ngantangarra (ntg language)"
notoguta,"Natioro (nti language)"
notojota,"Ngaanyatjarra (ntj language)"
notokota,"Ikoma-Nata-Isenye (ntk language)"
notomota,"Nateni (ntm language)"
notoduta,"Ntomba (nto language)"
