,salmon
,sand dollar
,sandpiper
,sardine
,sassaby
,sea lion
,seahorse
,seal
,serval
,shark
,sheep
,shrew
,shrike
,siamang
,skink
,skipper
,skunk
,sloth
,snail
,snake
,spider
,spoonbill
,squid
,squirrel
,starling
,stilt
,swan
,tamarin
,tapir
,tarsier
,termite
,thrush
,tiger
,toad
,topi
,toucan
,turaco
,turkey
,turtle
,vicuña
,vinegaroon
,viper
,vulture
,wallaby
,walrus
,wasp
,water buffalo
,wax:ng
,weasel
,whale
,wobbegong
,wolf
,wolverine
,wombat
,woodpecker
,worm
,wren
,yak
,zebra
,equinox
,equator
,agenda
,calorie
,:nd
,meadow
,priest
,manufacture
,leopard
,lava
,laundry
,lance
,lamp
,lamb
,lady
,ladder
,lake
,koala
,knuckle
,knight
,knife
,kitty
kitxena,kitchen
,kiss
,kingfisher
,kidney
,kick
,kangaroo
,july
,judaism
,jet
,jellyfish
,jaw
,jaundice
,islam
,bureaucracy
,democracy
,delicacy
,aristocracy
,pharmacy
,grammaticalization
,drupe
,abscission
,ovary
,carpal
,fluorescence
,keel
,phosphorescent
,bush
,squat
,tubular
,stout
,hearty
,herbaceous
,perennial
,luxuriant
,succulent
,woody
,leather
,ceramic
,concrete
,plaster
,placenta
,valve
,embryo
,gill
,mild
,thematized
,acid
,acidic
,acidity
,acidosis
,acidification
,acids
,adultery
,adulterated
,adulteration
,adulterous
,adulterer
,adulterers
,adulterous
,ant
,antelope
,anemone
,angel
,animal
,aphid
,apartment
,apple
,arm
,armadillo
,army
,art
,ash
,attic
,baby
,babysitter
,badger
,bake
,banana
,beaver
,bundle
,beefy
,bed
,bedroom
,bee
,beer
,beetle
,bell
,belt
,bench
,berry
,beverage
,bicycle
,bid
,bike
,bill
,bird
,bite
,blade
,blink
,blister
,blonde
,blood
,blushing
,buffalo
,bug
,bank (finance)
,alcohol
,diary
,diamond
,helicopter
,hedgehog
,representationalism
,motorcycle
,radical (chemistry)
,polymer
,polymeric
,polymerization
,petroleum
,oxidation
,oxide
,oxidize
,guitar
,gullet
,hair
,hammer
,hamster
,applauding
,applauded
,applause
,bag
,flour
,boson
,bottle
,bow
,bow (arrow)
,bowl
,box
,boy
,murder
,breakfast
,breast
,gallop
,brick
,broadcast
,bronze
,kitten
,brush
,buddism
,budget
,butter
,butterfly
,button
,cabinet
,cable
,cafe
,cage
,cake
,camera
,canal
,candle
,candy
,cannon
,car
,capital
,captain
,carbon
,card
,carriage
,cartoon
,castle
,cat
,catalog
,cathedral
,cattle
,champion
,chapel
,chapter
,horse
,hospital
,hood (sweater/gear)
,hoof
,hippopotamus
,queen
,quaternion
glasaveda,psychology
,prostitute
,bone
,book
,brass
,bus
,bush
,cave
,century
,cheese
,cherry
,chess
,chest
,chicken
,chief
,chimpanzee
,chocolate
,church
,cinema
,city
,clap
skuloruma,classroom
,clay
,clinic
,clock
,cloth
,clothes
,clothing
,clothing article
,clownishly
,coal
,coffee
,coin
,college
,colony
,comet
,comic
,common sense
,coo
,cook
,coral
,cord
,cork
,corn
,cosmic energy
,cotton
,cough
,counterclock:se
,country
,cow
,coyote
,crab
,crane
,cream
,cricket
,croak (frog)
,database
,devil
,doll
,duck
,dung
,egg
,elbow
,elder
,electrochemical
,electromagnetic
,electrophilic
,electrophilicity
,electrostatic
,elephant
,embryo
,eyebrow
,eyelash
,eyelid
,eyes
,fabric
,farm
,fart
,feathered
,feet
,fern
,ferry
,fetus
,fever
,fig
,film
,flamingo
,flute
,fly (bug)
,foot
,football
,forehead
,fox
,frog
,frost
,funeral
,fungus
,fur
,gadfly
,galaxy
,gallery
,garden
,garage
,gargle
,garment
,gasoline
,geodesic
,geometric
,ghost
,giraffe
,glacial
,glacially
,glacier
,glass
,goat
,golf
,grain
,gram
,gill
,goose
,grandmother
,grape
,grasshopper
,gun
,moldy
,hat
,grove
,hawk
,hearth
,hinduism
,homeostasis
,homogeneity
,homogeneous
,hotel
,human
,idol
,incense
,incisor
,ionization
,ionize
,isochoric
,isomer
,isothermal
smopominzi,jaywalk
,larva
,larynx
,library
,lion
,lizard
,lobster
,mammal
,man
,military
,military (feature)
,mole
,moldy
,money
,monkey
,mosque
,moss
,mother
,mouse
,moustache
,mucous
,mud
,museum
,mushroom
,musical instrument
,nail
,needle
,nucleation
,o'clock
,nut
,oak
,oar
,oats
,octopus
,oil
,organ
,organic
,otter
,oven
,owl
,ox
,oyster
,palm
,panda
,panel
,pants
,paper
,park (place)
,parrot
,partridge
,pasture
,pea
,peach
,peacock
,pear
,pebble (small rock)
,pedal
,pen
,pencil
,penguin
,people
,pepper
,petal
,petrified
,pillar/column
,plague
,planet
,plant
,poem
,poet
,police
lapodrana,polygon
laposnaga,polytope
,pond
,porcupine
,pork
,porch
,pot
,prison
,pus
,rabbit
,rain
,rainbow
,rail
nekodrana,rectangle
,reed
,rifle
,river
,road
,robin
,rock
,rocket
,rod
,rose
,rubber
fardobalta,rugby
,salmon
,sail
,salt
,saltily
,salty
,saltyness
,sand
,telephone
,teleport
,teeth
,tear
,tearful
,tearfully
,tears
,television
,temple
vrivobalta,tennis
,testicle
,throat
,thunder
,thunderously
nikxodrata,tomorrow
,tooth
,torch
,tornado
,trachea
,tumor
,turkey
,udder
,umbrella
,university
,urban
,organism
,mite
,vascular
,breakdown
,gecko
,taxi
,jog
,boat
molozizo:snada,atom-1 (mzz)
vabozido:snada,atom-2 (vzd)
molodiso:snada,atom-3 (mds)
nagodilo:snada,atom-4 (ndl)
rotodiko:snada,atom-5 (rdk)
wavodizo:snada,atom-6 (wdz)
yokodizo:snada,atom-7 (ydz)
zegodizo:snada,atom-8 (zdz)
fododizo:snada,atom-9 (fdz)
vabodido:snada,atom-10 (vdd)
molosiso:snada,atom-11 (mss)
nagosilo:snada,atom-12 (nsl)
rotosixo:snada,atom-13 (rsx)
wavosiko:snada,atom-14 (wsk)
yokosixo:snada,atom-15 (ysx)
zegosixo:snada,atom-16 (zsx)
fodosixo:snada,atom-17 (fsx)
vabosido:snada,atom-18 (vsd)
mololiso:snada,atom-19 (mls)
nagolilo:snada,atom-20 (nll)
fiqolivo:snada,atom-21 (flv)
