term            parts                     how
pollen          poll + make               affix
pollution       pollute + act             affix
porous          pore + like               affix
porter          port + agent              affix
portion         pore + act                affix
position        pose + act                affix
possession      possess + act             affix
pottery         potter + like             affix
powerful        power + full              affix
praise          pray + make               affix
prayer          pray + agent              affix
precision       precious + act            affix
prediction      predicate + act           affix
preparation     prepare + act             affix
preventive      prevent + like            affix
prey            pre + like                affix
prior           prize + agent             affix
prioritize      priority + make           affix
priority        prior + nature            affix
prisoner        prison + agent            affix
privacy         private + nature          affix
productive      product + like            affix
profession      profess + act             affix
professional    profession + like         affix
prohibition     prohibit + act            affix
projection      project + act             affix
protection      protect + act             affix
publish         public + like             affix
punishment      punish + act              affix
purify          pure + make               affix
purity          pure + nature             affix
question        quest + act               affix
rarely          rare + manner             affix
ready           read + like               affix
reality         real + nature             affix
receiver        receive + agent           affix
recipient       recipe + agent            affix
recognition     recognize + act           affix
recording       record + act              affix
recursion       recur + act               affix
reference       refer + act               affix
reflection      reflect + act             affix
regional        region + like             affix
registration    register + act            affix
rejection       reject + act              affix
relation        rely + act                affix
reliable        rely + able               affix
reliance        rely + act                affix
relic           rely + like               affix
rely            relic + like              affix
repeated        repeat + done             affix
representation  represent + act           affix
required        require + done            affix
requirement     require + act             affix
resistance      resist + act              affix
responsibility  response + ability        affix
responsible     response + able           affix
rodent          rod + agent               affix
romantic        romance + like            affix
rotation        rot + act                 affix
rubber          rub + agent               affix
rubbish         rub + like                affix
ruler           rule + agent              affix
sadness         sad + nature              affix
salary          sale + like               affix
salty           salt + like               affix
scaly           scale + like              affix
scary           scar + like               affix
scientist       science + agent           affix
scornful        scorn + full              affix
sealed          seal + done               affix
secondary       second + like             affix
secretary       secret + like             affix
section         sect + act                affix
security        secure + nature           affix
selection       select + act              affix
selfish         self + like               affix
sensation       sense + act               affix
sensitivity     sensitive + nature        affix
separation      separate + act            affix
servant         serve + agent             affix
server          serve + agent             affix
settlement      settle + act              affix
shaky           shake + like              affix
shameful        shame + full              affix
shaped          shape + done              affix
shared          share + done              affix
sharpen         sharp + make              affix
shiny           shin + like               affix
shorten         short + make              affix
similarity      similar + nature          affix
skillful        skill + full              affix
skinny          skin + like               affix
sleepy          sleep + like              affix
slightly        slight + manner           affix
slimy           slim + like               affix
slower          slow + agent              affix
smaller         small + agent             affix
sneaky          sneak + like              affix
soften          soft + make               affix
solvent         solve + agent             affix
spicy           spice + like              affix
statement       state + act               affix
static          state + like              affix
station         stay + act                affix
stay            state + like              affix
sticky          stick + like              affix
stinking        stink + act               affix
stocking        stock + act               affix
strengthen      strength + make           affix
suffering       suffer + act              affix
suggestion      suggest + act             affix
surprised       surprise + done           affix
surrounding     surround + act            affix
symbolic        symbol + like             affix
symbolize       symbol + make             affix
symmetric       symmetry + like           affix
symmetry        symmetric + like          affix
tactic          tact + like               affix
talky           talk + like               affix
tasty           taste + like              affix
teacher         teach + agent             affix
tender          tend + agent              affix
tension         ten + act                 affix
they            the + like                affix
thirsty         thirst + like             affix
threaten        threat + make             affix
thrifty         thrift + like             affix
tidy            tide + like               affix
tired           tire + done               affix
topic           top + like                affix
touching        touch + act               affix
tourist         tour + agent              affix
tower           tow + agent               affix
tradition       trade + act               affix
transformation  transform + act           affix
translation     translate + act           affix
tray            trace + like              affix
treatment       treat + act               affix
treaty          treat + like              affix
trial           try + like                affix
tuning          tune + act                affix
uniformity      uniform + nature          affix
unity           unit + like               affix
university      universe + nature         affix
upper           up + agent                affix
useful          use + full                affix
usually         usual + manner            affix
valuable        value + able              affix
vanity          van + nature              affix
variation       various + act             affix
verify          very + make               affix
version         very + act                affix
vibration       vibrate + act             affix
violation       violate + act             affix
violence        violate + act             affix
violent         violate + agent           affix
virtuous        virtue + like             affix
visualize       visual + make             affix
warning         warn + act                affix
weaken          weak + make               affix
weary           wear + like               affix
wedding         wed + act                 affix
whiny           whine + like              affix
whiten          white + make              affix
widen           wide + make               affix
wisdom          wise + state              affix
witness         wit + nature              affix
witty           wit + like                affix
worker          work + agent              affix
worsen          worse + make              affix
worthy          worth + like              affix
writing         write + act               affix
younger         young + agent             affix
ad              advertisement             clipping
bike            bicycle                   clipping
bus             omnibus                   clipping
cab             cabriolet                 clipping
exam            examination               clipping
flu             influenza                 clipping
math            mathematics               clipping
movie           moving picture            clipping
phone           telephone                 clipping
photo           photograph                clipping
piano           pianoforte                clipping
plane           airplane                  clipping
sub             submarine                 clipping
taxi            taximeter cab             clipping
tech            technology                clipping
zoo             zoological garden         clipping
afterlife       after + life              compound
afternoon       after + noon              compound
alternative     alter + native            compound
anyone          any + one                 compound
anything        any + thing               compound
assistant       assist + ant              compound
avoidable       avoid + able              compound
beginner        beg + inner               compound
betray          bet + ray                 compound
birthday        birth + day               compound
blurred         blur + red                compound
bondage         bond + age                compound
broadcast       broad + cast              compound
button          but + ton                 compound
cannot          can + not                 compound
capability      cap + ability             compound
capable         cap + able                compound
charcoal        char + coal               compound
childhood       child + hood              compound
clockwise       clock + wise              compound
comfortable     comfort + able            compound
cotton          cot + ton                 compound
damage          dam + age                 compound
database        data + base               compound
daylight        day + light               compound
deadline        dead + line               compound
earnest         ear + nest                compound
earthquake      earth + quake             compound
ecosystem       eco + system              compound
everyone        every + one               compound
everything      every + thing             compound
eyebrow         eye + brow                compound
eyelid          eye + lid                 compound
father          fat + her                 compound
feedback        feed + back               compound
forbid          for + bid                 compound
forget          for + get                 compound
forgive         for + give                compound
format          for + mat                 compound
fortune         for + tune                compound
friendship      friend + ship             compound
generate        gene + rate               compound
grandchild      grand + child             compound
grandfather     grand + father            compound
