term              context      role          uses  head
----------------  -----------  ------------  ----  ----
click                          verb             1     1
client                         noun             1     1
cliff                          noun             1     0
climate                        noun             1     1
climb                          verb            11     3
clip                           verb             1     1
clock                          noun             4     4
close                          adjective       52    28
clot                           noun             1     0
cloth                          noun            61    51
clothes                        noun             0     0
cloud                          verb             3     2
club                           verb             3     1
clue                           noun             2     2
clump                          noun             3     2
clumsy                         adjective        2     0
cluster                        noun             1     0
coarse                         adjective        0     0
coast                          noun             1     1
coat                           verb            14    12
cob                            noun             1     0
cock                           noun             1     0
code                           verb            19    15
coffee                         noun             1     1
coil                           noun             2     1
coin                           verb             1     1
cold                           adjective       22     4
collaborate                    verb             0     0
collapse                       verb             2     0
collar                         noun             1     1
collect                        verb             4     2
college                        noun             1     0
collide                        verb             0     0
colon                          noun             1     0
color                          verb            71    50
column                         noun             0     0
comb                           noun             1     1
combat                         verb             1     0
combine                        verb            17     2
come                           verb            27     5
comedy                         noun             2     1
comfort                        verb             9     3
command                        verb             6     4
commit                         verb             1     1
common                         adjective       16     0
commotion                      noun             2     2
communicate                    verb             0     0
community                      noun             2     0
company                        noun             3     2
compare                        noun             2     1
comparison                     noun             1     1
compass                        noun             0     0
compete                        verb             1     0
complacent                     adjective        1     0
complain                       verb             2     1
complaint                      noun             0     0
complete                       adjective       32    10
complex                        adjective        4     2
comply                         verb             1     1
component                      noun             0     0
compound                       verb             7     7
compress                       noun             1     0
compute                        verb             0     0
concentrate                    verb             0     0
concept                        noun             1     1
concern                        verb             2     2
concert                        noun             0     0
conclude                       verb             0     0
concrete                       adjective        0     0
condemn                        verb             1     0
condense                       verb             0     0
condition                      noun            32    30
conduct                        verb             5     5
cone                           noun             0     0
confess                        verb             1     0
confidence                     noun             0     0
confident                      adjective        0     0
confine                        noun             1     0
confirm                        verb             4     0
conflict                       verb             8     3
confuse                        verb            18     6
connect                        verb            12     7
conquer                        verb             1     1
conscious                      adjective        2     0
consent                        verb             1     0
consequence                    noun             1     1
conservation                   noun             0     0
consider                       verb             4     1
consist                        verb             0     0
constant                       adjective        3     0
constraint                     noun             0     0
construct                      verb             1     1
consume                        verb             1     1
contact                        verb             1     0
contain                        verb            34    32
contaminate                    verb             1     0
content           mood         adjective        3     2
contest                        noun             3     2
context                        noun             0     0
continent                      noun             3     3
continue                       verb             6     1
contract                       verb             2     2
contrast                       verb             0     0
control                        verb            46    31
convenient                     adjective        0     0
conversation                   noun             0     0
convert                        verb             1     0
convince                       verb             3     2
cook                           noun            29    12
cool                           adjective        9     2
coordinate                     verb             0     0
copper                         noun             1     0
copy                           verb            28    13
cord                           noun             4     3
core                           verb             7     1
cork                           noun             2     2
corn                           noun             2     1
corner                         noun            10     8
corpse                         noun             1     0
correct                        adjective        8     2
correlate                      verb             0     0
correspond                     verb             0     0
corrode                        verb             1     0
cost                           verb            13    11
cot                            noun             1     1
council                        noun             1     0
count                          verb            43    25
counterclockwise               adjective        0     0
country                        noun             7     4
couple                         verb             2     2
courage                        noun             5     3
course                         noun             8     6
court                          verb             4     1
cousin                         noun             0     0
cover                          verb            95    70
cow                            noun             8     0
coward                         noun             0     0
cozy                           adjective        2     0
crab                           noun             1     1
crack                          verb             4     4
cradle                         noun             0     0
craft                          verb            13    13
crash                          verb             3     1
crave                          verb             1     1
crawl                          verb             0     0
crazy                          adjective       17     3
cream                          noun             5     2
crease                         noun             2     0
create                         verb            41    18
creature                       noun            21    21
credit                         verb             1     1
creek                          noun             0     0
creep                          verb             2     0
crew                           noun             1     1
cricket                        noun             0     0
crime                          noun            11    10
crimson                        noun             1     0
crisp                          adjective        2     1
criticize                      verb             1     1
critique                       noun             1     1
crocodile                      noun             1     1
crooked                        verb             1     0
crop                           verb             3     1
cross                          verb            20     2
crouch                         noun             0     0
crow                           noun             1     0
crowd                          verb            16    11
crown                          noun             5     1
crucial                        adjective        1     0
crude                          adjective        1     0
cruel                          adjective        8     2
crumple                        noun             1     0
crush                          verb             5     2
crust                          noun             1     1
cry                            verb            11     9
crystal                        noun             3     3
cube                           verb             1     1
cucumber                       noun             1     0
cuddle                         noun             1     1
cue                            verb             1     1
cultivate                      verb             0     0
culture                        noun             7     5
cunning                        adjective        1     0
cup                            noun             8     4
curd                           noun             1     1
curdle                         noun             1     1
cure                           verb             6     3
curiosity                      noun             0     0
curious                        adjective        3     0
curl                           verb             3     0
currency                       noun             0     0
current           flow         adjective       10     2
curse                          noun             3     1
curtain                        noun             0     0
curve                          verb            22     5
cushion                        noun             5     5
custom                         noun             0     0
cut                            verb           101    41
cute                           adjective        2     0
cycle                          verb             8     7
cyst                           noun             2     2
dad                            noun             3     0
dai                            noun             3     0
dam                            verb             2     2
damp                           adjective        1     0
dance                          verb            11     3
dandy                          noun             1     0
danger                         noun             6     3
dangle                         noun             1     0
dare                           verb             3     0
dark                           adjective       16     1
dart                           verb             1     1
dash                           verb             2     0
data                           noun            12     5
date                           verb             4     2
daughter                       noun             0     0
dawn                           noun             3     1
day                            noun            29    17
daze                           verb             1     0
dead                           adjective       12     2
deaf                           adjective        0     0
deal                           verb            18    15
dear                           adjective        2     2
death                          noun            27    12
debate                         verb             2     2
debris                         noun             1     1
