term,atom,meaning,mandarin,vietnamese,total,languages,source
engrave,,,14,0,14,1,gloss
enlighten,,,14,0,14,1,gloss
excess,,,14,0,14,1,gloss
excrement,,,0,14,14,1,gloss
expedition,,,14,0,14,1,gloss
fade,,,0,14,14,1,gloss
fart,,,14,0,14,1,gloss
fifth,,,14,0,14,1,gloss
firecracker,,,0,14,14,1,gloss
forbidden,,,0,14,14,1,gloss
fry,,,14,0,14,1,gloss
gear,,,14,0,14,1,gloss
ginger,,,14,0,14,1,gloss
guang,,,14,0,14,1,gloss
halberd,,,14,0,14,1,gloss
helmet,,,14,0,14,1,gloss
hunan,,,14,0,14,1,gloss
hurt,xam,hurt,14,0,14,1,both
include,,,14,0,14,1,gloss
indigo,,,14,0,14,1,gloss
intimate,,,14,0,14,1,gloss
ivory,,,0,14,14,1,gloss
laborer,,,0,14,14,1,gloss
leftover,,,14,0,14,1,gloss
lend,,,14,0,14,1,gloss
lodge,,,14,0,14,1,gloss
lust,,,0,14,14,1,gloss
makeup,,,14,0,14,1,gloss
marvellous,,,0,14,14,1,gloss
mass,,,0,14,14,1,gloss
mount,,,14,0,14,1,gloss
oath,,,0,14,14,1,gloss
own,baq,own,14,0,14,1,both
patterned,,,14,0,14,1,gloss
permission,,,0,14,14,1,gloss
piety,,,0,14,14,1,gloss
porcelain,,,14,0,14,1,gloss
pounce,,,14,0,14,1,gloss
printing,,,14,0,14,1,gloss
publish,,,14,0,14,1,gloss
recover,,,14,0,14,1,gloss
remit,,,14,0,14,1,gloss
revere,,,0,14,14,1,gloss
revolve,,,14,0,14,1,gloss
rudder,,,14,0,14,1,gloss
sandalwood,,,14,0,14,1,gloss
sausage,,,0,14,14,1,gloss
scripture,,,14,0,14,1,gloss
sibling,,,0,14,14,1,gloss
smear,,,14,0,14,1,gloss
sole,,,14,0,14,1,gloss
spray,,,14,0,14,1,gloss
spy,,,14,0,14,1,gloss
stride,,,14,0,14,1,gloss
submerged,,,0,14,14,1,gloss
suit,,,0,14,14,1,gloss
sure,,,0,14,14,1,gloss
tilted,,,0,14,14,1,gloss
tolerate,,,0,14,14,1,gloss
trial,,,14,0,14,1,gloss
uncover,,,14,0,14,1,gloss
unfold,,,14,0,14,1,gloss
universe,,,14,0,14,1,gloss
version,,,0,14,14,1,gloss
why,wan,why,0,14,14,1,both
wriggle,,,0,14,14,1,gloss
wrinkled,,,0,14,14,1,gloss
yin,,,14,0,14,1,gloss
abuse,,,13,0,13,1,gloss
accommodate,,,13,0,13,1,gloss
admit,,,0,13,13,1,gloss
advise,,,0,13,13,1,gloss
agent,,,0,13,13,1,gloss
always,hoz,always,13,0,13,1,both
american,,,13,0,13,1,gloss
amine,,,13,0,13,1,gloss
ammunition,,,0,13,13,1,gloss
ardent,,,0,13,13,1,gloss
aside,,,13,0,13,1,gloss
bid,,,13,0,13,1,gloss
blink,,,0,13,13,1,gloss
blister,,,13,0,13,1,gloss
boast,,,13,0,13,1,gloss
bunting,,,13,0,13,1,gloss
canon,,,13,0,13,1,gloss
caught,,,0,13,13,1,gloss
cheap,,,0,13,13,1,gloss
chisel,,,13,0,13,1,gloss
civet,,,0,13,13,1,gloss
clause,,,13,0,13,1,gloss
commune,,,0,13,13,1,gloss
convey,,,13,0,13,1,gloss
corridor,,,13,0,13,1,gloss
courtesy,,,13,0,13,1,gloss
crushed,,,0,13,13,1,gloss
dazzled,,,0,13,13,1,gloss
deal,,,13,0,13,1,gloss
deduct,,,13,0,13,1,gloss
delegate,,,0,13,13,1,gloss
descendant,,,13,0,13,1,gloss
desk,,,13,0,13,1,gloss
domain,,,0,13,13,1,gloss
drug,som,drug,13,0,13,1,both
du,,,13,0,13,1,gloss
dwell,,,13,0,13,1,gloss
elm,,,13,0,13,1,gloss
exert,,,13,0,13,1,gloss
exhibit,,,13,0,13,1,gloss
faith,,,0,13,13,1,gloss
find,fan,find,13,0,13,1,both
flatworm,,,0,13,13,1,gloss
flea,,,13,0,13,1,gloss
flog,,,13,0,13,1,gloss
garlic,,,13,0,13,1,gloss
gauze,,,13,0,13,1,gloss
generous,,,0,13,13,1,gloss
glare,,,0,13,13,1,gloss
haze,,,13,0,13,1,gloss
illicit,,,0,13,13,1,gloss
infatuated,,,0,13,13,1,gloss
initiate,,,0,13,13,1,gloss
integrity,,,0,13,13,1,gloss
judgment,,,13,0,13,1,gloss
jujube,,,13,0,13,1,gloss
ketone,,,13,0,13,1,gloss
laughter,,,13,0,13,1,gloss
lessen,,,0,13,13,1,gloss
liao,,,13,0,13,1,gloss
liu,,,13,0,13,1,gloss
majestic,,,0,13,13,1,gloss
map,map,map,13,0,13,1,both
multiply,,,13,0,13,1,gloss
mute,,,13,0,13,1,gloss
notice,nas,notice,13,0,13,1,both
obedient,,,13,0,13,1,gloss
omit,,,13,0,13,1,gloss
onion,,,0,13,13,1,gloss
outskirt,,,13,0,13,1,gloss
oyster,,,13,0,13,1,gloss
paralysis,,,13,0,13,1,gloss
pleasant,,,13,0,13,1,gloss
pleat,,,13,0,13,1,gloss
prior,,,0,13,13,1,gloss
prominent,,,13,0,13,1,gloss
protective,,,13,0,13,1,gloss
puff,,,0,13,13,1,gloss
pump,,,13,0,13,1,gloss
puppet,,,0,13,13,1,gloss
qing,,,13,0,13,1,gloss
radiate,,,0,13,13,1,gloss
rainbow,,,13,0,13,1,gloss
reckless,,,13,0,13,1,gloss
recommend,,,13,0,13,1,gloss
reproach,,,13,0,13,1,gloss
retire,,,0,13,13,1,gloss
rhythm,,,0,13,13,1,gloss
ridicule,,,13,0,13,1,gloss
rinse,,,13,0,13,1,gloss
rust,,,0,13,13,1,gloss
science,,,13,0,13,1,gloss
sluggish,,,0,13,13,1,gloss
smudged,,,0,13,13,1,gloss
snipe,,,13,0,13,1,gloss
squat,,,13,0,13,1,gloss
stab,,,13,0,13,1,gloss
startled,,,0,13,13,1,gloss
stature,,,0,13,13,1,gloss
strain,,,0,13,13,1,gloss
ten-day,,,13,0,13,1,gloss
thanks,,,13,0,13,1,gloss
throughout,,,13,0,13,1,gloss
tomb,,,13,0,13,1,gloss
tr,,,0,13,13,1,gloss
trash,,,0,13,13,1,gloss
venom,,,0,13,13,1,gloss
wail,,,13,0,13,1,gloss
weighty,,,13,0,13,1,gloss
whistle,,,13,0,13,1,gloss
yue,,,13,0,13,1,gloss
zero,han,zero,13,0,13,1,both
abyss,,,12,0,12,1,gloss
additional,,,0,12,12,1,gloss
affected,,,0,12,12,1,gloss
ahead,,,12,0,12,1,gloss
aim,,,0,12,12,1,gloss
alternate,,,12,0,12,1,gloss
approximate,,,0,12,12,1,gloss
arc,,,12,0,12,1,gloss
arena,,,12,0,12,1,gloss
bird-name,,,0,12,12,1,gloss
blur,,,0,12,12,1,gloss
bolt,,,12,0,12,1,gloss
booklet,,,12,0,12,1,gloss
boot,,,12,0,12,1,gloss
bored,,,0,12,12,1,gloss
born,,,12,0,12,1,gloss
brake,,,12,0,12,1,gloss
buttock,,,12,0,12,1,gloss
cable,,,12,0,12,1,gloss
cancel,,,12,0,12,1,gloss
cap,,,12,0,12,1,gloss
career,,,0,12,12,1,gloss
cart,,,12,0,12,1,gloss
cheat,,,12,0,12,1,gloss
chirp,,,12,0,12,1,gloss
chlorine,,,12,0,12,1,gloss
clamor,,,12,0,12,1,gloss
compound,,,12,0,12,1,gloss
cottage,,,12,0,12,1,gloss
covering,,,12,0,12,1,gloss
crash,,,12,0,12,1,gloss
cuisine,,,12,0,12,1,gloss
dad,,,12,0,12,1,gloss
defraud,,,12,0,12,1,gloss
despise,,,0,12,12,1,gloss
diagnose,,,12,0,12,1,gloss
dip,,,0,12,12,1,gloss
disc,,,12,0,12,1,gloss
disgrace,,,12,0,12,1,gloss
disobey,,,12,0,12,1,gloss
dispute,,,12,0,12,1,gloss
dominate,,,12,0,12,1,gloss
edit,,,12,0,12,1,gloss
enclosure,,,12,0,12,1,gloss
enterprise,,,12,0,12,1,gloss
everywhere,,,12,0,12,1,gloss
exclude,,,12,0,12,1,gloss
execute,,,12,0,12,1,gloss
exempt,,,0,12,12,1,gloss
extraordinary,,,0,12,12,1,gloss
face-up,,,0,12,12,1,gloss
fail,,,12,0,12,1,gloss
fake,,,12,0,12,1,gloss
farm,nuz,farm,12,0,12,1,both
finance,,,12,0,12,1,gloss
fir,,,12,0,12,1,gloss
flooded,,,0,12,12,1,gloss
following,,,0,12,12,1,gloss
fortunate,,,12,0,12,1,gloss
fur,,,12,0,12,1,gloss
groove,,,12,0,12,1,gloss
growth,,,0,12,12,1,gloss
handsome,,,0,12,12,1,gloss
harrow,,,0,12,12,1,gloss
harvest,fix,harvest,0,12,12,1,both
hearing,,,12,0,12,1,gloss
hesitant,,,0,12,12,1,gloss
hoop,,,12,0,12,1,gloss
ignorant,,,12,0,12,1,gloss
implement,,,12,0,12,1,gloss
india,,,12,0,12,1,gloss
indifferent,,,0,12,12,1,gloss
indignation,,,0,12,12,1,gloss
irrigate,,,12,0,12,1,gloss
job,goq,job,12,0,12,1,both
lantern,,,12,0,12,1,gloss
lao,,,0,12,12,1,gloss
length,hok,length,12,0,12,1,both
levy,,,12,0,12,1,gloss
liang,,,0,12,12,1,gloss
mandarin,,,12,0,12,1,gloss
manufacture,,,12,0,12,1,gloss
melody,,,0,12,12,1,gloss
millet,,,12,0,12,1,gloss
moisten,,,12,0,12,1,gloss
monster,,,12,0,12,1,gloss
moss,magz,moss,12,0,12,1,both
must,mat,must,12,0,12,1,both
negative,,,12,0,12,1,gloss
nonsense,,,0,12,12,1,gloss
overstep,,,12,0,12,1,gloss
panel,,,0,12,12,1,gloss
pant,veb,pants,12,0,12,1,both
passage,,,12,0,12,1,gloss
passenger,,,12,0,12,1,gloss
phase,,,12,0,12,1,gloss
piercing,,,0,12,12,1,gloss
pleased,,,12,0,12,1,gloss
possess,,,12,0,12,1,gloss
prince,,,0,12,12,1,gloss
pu,,,12,0,12,1,gloss
reading,,,12,0,12,1,gloss
refer,,,12,0,12,1,gloss
regular,,,12,0,12,1,gloss
revise,,,12,0,12,1,gloss
ringworm,,,12,0,12,1,gloss
roller,,,12,0,12,1,gloss
romantic,,,0,12,12,1,gloss
rugged,,,12,0,12,1,gloss
sack,,,12,0,12,1,gloss
scallion,,,12,0,12,1,gloss
scream,,,0,12,12,1,gloss
scroll,,,12,0,12,1,gloss
seam,,,12,0,12,1,gloss
sect,,,0,12,12,1,gloss
sedge,,,12,0,12,1,gloss
seem,zim,seem,12,0,12,1,both
seventh,,,12,0,12,1,gloss
shanghai,,,12,0,12,1,gloss
shortened,,,0,12,12,1,gloss
shrine,,,0,12,12,1,gloss
sight,,,12,0,12,1,gloss
sinew,,,12,0,12,1,gloss
slap,,,0,12,12,1,gloss
smelly,,,0,12,12,1,gloss
solemn,,,12,0,12,1,gloss
soothe,,,0,12,12,1,gloss
spike,,,0,12,12,1,gloss
splendid,,,12,0,12,1,gloss
spoil,,,12,0,12,1,gloss
squirrel,,,0,12,12,1,gloss
strap,,,0,12,12,1,gloss
stratagem,,,0,12,12,1,gloss
sufficient,,,0,12,12,1,gloss
t,,,0,12,12,1,gloss
tame,,,12,0,12,1,gloss
temperament,,,0,12,12,1,gloss
tend,,,12,0,12,1,gloss
till,,,12,0,12,1,gloss
tire,,,12,0,12,1,gloss
torn,,,0,12,12,1,gloss
umbrella,,,12,0,12,1,gloss
venue,,,12,0,12,1,gloss
verse,,,0,12,12,1,gloss
vital,,,0,12,12,1,gloss
warmth,,,12,0,12,1,gloss
warn,vic,warn,12,0,12,1,both
wasted,,,0,12,12,1,gloss
weapon,nev,weapon,12,0,12,1,both
weigh,,,12,0,12,1,gloss
widow,,,12,0,12,1,gloss
xia,,,12,0,12,1,gloss
yu,,,12,0,12,1,gloss
about,,,11,0,11,1,gloss
accustomed,,,0,11,11,1,gloss
actor,,,11,0,11,1,gloss
aldehyde,,,11,0,11,1,gloss
alkene,,,11,0,11,1,gloss
ammonia,,,11,0,11,1,gloss
appreciate,,,11,0,11,1,gloss
attribute,,,0,11,11,1,gloss
ba,,,11,0,11,1,gloss
ban,,,11,0,11,1,gloss
bark,,,11,0,11,1,gloss
barrel,,,11,0,11,1,gloss
beast,bist,beast,11,0,11,1,both
beer,,,0,11,11,1,gloss
biography,,,11,0,11,1,gloss
bravery,,,0,11,11,1,gloss
bureau,,,11,0,11,1,gloss
burning,,,0,11,11,1,gloss
burnt,,,0,11,11,1,gloss
cancer,,,11,0,11,1,gloss
cease,,,0,11,11,1,gloss
celery,,,11,0,11,1,gloss
challenge,,,0,11,11,1,gloss
chant,,,11,0,11,1,gloss
charming,,,11,0,11,1,gloss
chatter,,,11,0,11,1,gloss
childbirth,,,11,0,11,1,gloss
cigarette,,,11,0,11,1,gloss
coat,yul,coat,0,11,11,1,both
cod,,,11,0,11,1,gloss
coin,,,11,0,11,1,gloss
combat,,,0,11,11,1,gloss
comfortable,,,11,0,11,1,gloss
company,,,11,0,11,1,gloss
congee,,,0,11,11,1,gloss
contend,,,11,0,11,1,gloss
cooked,,,0,11,11,1,gloss
corn,,,0,11,11,1,gloss
counterfeit,,,11,0,11,1,gloss
cream,,,0,11,11,1,gloss
crease,,,11,0,11,1,gloss
crude,,,0,11,11,1,gloss
crumb,,,0,11,11,1,gloss
crush,kok,crush,11,0,11,1,both
deaf,,,11,0,11,1,gloss
deed,,,11,0,11,1,gloss
deny,,,0,11,11,1,gloss
deserted,,,0,11,11,1,gloss
deviated,,,0,11,11,1,gloss
dirt,,,11,0,11,1,gloss
distinct,,,0,11,11,1,gloss
eighth,,,11,0,11,1,gloss
endow,,,0,11,11,1,gloss
enzyme,,,11,0,11,1,gloss
evade,,,11,0,11,1,gloss
exile,,,0,11,11,1,gloss
fair,wug,fair,11,0,11,1,both
feces,,,11,0,11,1,gloss
ferocious,,,0,11,11,1,gloss
fin,,,11,0,11,1,gloss
flatfish,,,11,0,11,1,gloss
flutter,,,0,11,11,1,gloss
fragment,,,0,11,11,1,gloss
frightening,,,0,11,11,1,gloss
function,,,0,11,11,1,gloss
glean,,,0,11,11,1,gloss
grey,,,0,11,11,1,gloss
grief,,,11,0,11,1,gloss
gull,,,11,0,11,1,gloss
gut,gut,gut,0,11,11,1,both
halt,,,0,11,11,1,gloss
hatred,,,11,0,11,1,gloss
health,fuq,health,11,0,11,1,both
higher,,,11,0,11,1,gloss
hoof,,,11,0,11,1,gloss
humiliate,,,0,11,11,1,gloss
hunched,,,0,11,11,1,gloss
hurried,,,11,0,11,1,gloss
immediate,,,11,0,11,1,gloss
inch,,,11,0,11,1,gloss
infect,,,0,11,11,1,gloss
information,,,11,0,11,1,gloss
inlay,,,11,0,11,1,gloss
instant,,,11,0,11,1,gloss
intercept,,,11,0,11,1,gloss
interpret,,,11,0,11,1,gloss
jackfruit,,,0,11,11,1,gloss
jing,,,11,0,11,1,gloss
karma,,,0,11,11,1,gloss
kerchief,,,11,0,11,1,gloss
korean,,,11,0,11,1,gloss
lease,,,11,0,11,1,gloss
loan,,,11,0,11,1,gloss
loop,,,11,0,11,1,gloss
magnificent,,,11,0,11,1,gloss
methyl,,,11,0,11,1,gloss
mild,,,11,0,11,1,gloss
milli,,,11,0,11,1,gloss
ministry,,,0,11,11,1,gloss
missed,,,0,11,11,1,gloss
moisture,,,11,0,11,1,gloss
muddled,,,11,0,11,1,gloss
naive,,,0,11,11,1,gloss
ninth,,,11,0,11,1,gloss
nod,,,0,11,11,1,gloss
noise,,,0,11,11,1,gloss
non,,,0,11,11,1,gloss
opposing,,,11,0,11,1,gloss
ordinal,,,0,11,11,1,gloss
ornament,,,11,0,11,1,gloss
orphaned,,,0,11,11,1,gloss
overseer,,,0,11,11,1,gloss
parrot,,,0,11,11,1,gloss
pellet,,,11,0,11,1,gloss
pestle,,,0,11,11,1,gloss
please,,,11,0,11,1,gloss
pledge,,,0,11,11,1,gloss
plunder,,,11,0,11,1,gloss
pungent,,,0,11,11,1,gloss
quarrel,,,11,0,11,1,gloss
raft,,,0,11,11,1,gloss
ravine,,,11,0,11,1,gloss
recent,,,11,0,11,1,gloss
refute,,,11,0,11,1,gloss
remind,,,0,11,11,1,gloss
research,,,11,0,11,1,gloss
residual,,,0,11,11,1,gloss
ribbon,,,11,0,11,1,gloss
riddle,,,11,0,11,1,gloss
roar,,,0,11,11,1,gloss
romance,,,0,11,11,1,gloss
royal,,,0,11,11,1,gloss
rumble,,,0,11,11,1,gloss
saint,,,0,11,11,1,gloss
saying,,,11,0,11,1,gloss
semi,,,0,11,11,1,gloss
shared,,,0,11,11,1,gloss
shave,,,11,0,11,1,gloss
shuttle,,,11,0,11,1,gloss
shuttlecock,,,0,11,11,1,gloss
sixth,,,11,0,11,1,gloss
slanting,,,11,0,11,1,gloss
slaughter,,,11,0,11,1,gloss
smelt,,,11,0,11,1,gloss
solution,,,0,11,11,1,gloss
spinning,,,0,11,11,1,gloss
stagger,,,11,0,11,1,gloss
stamen,,,0,11,11,1,gloss
status,,,0,11,11,1,gloss
stern,,,11,0,11,1,gloss
strangle,,,11,0,11,1,gloss
stubble,,,11,0,11,1,gloss
stunned,,,0,11,11,1,gloss
sub,,,11,0,11,1,gloss
successive,,,11,0,11,1,gloss
sulfur,,,11,0,11,1,gloss
sulk,,,0,11,11,1,gloss
summit,,,0,11,11,1,gloss
the,,,0,11,11,1,gloss
trunk,,,0,11,11,1,gloss
underworld,,,11,0,11,1,gloss
unfamiliar,,,11,0,11,1,gloss
vigor,,,11,0,11,1,gloss
wart,,,11,0,11,1,gloss
weep,,,11,0,11,1,gloss
weld,,,11,0,11,1,gloss
widowed,,,0,11,11,1,gloss
winding,,,11,0,11,1,gloss
xiang,,,11,0,11,1,gloss
yarn,,,11,0,11,1,gloss
yearn,,,11,0,11,1,gloss
absent,,,0,10,10,1,gloss
abstain,,,10,0,10,1,gloss
acknowledge,,,10,0,10,1,gloss
action,,,10,0,10,1,gloss
adoptive,,,10,0,10,1,gloss
agriculture,,,10,0,10,1,gloss
amaranth,,,0,10,10,1,gloss
ankle,,,10,0,10,1,gloss
anniversary,,,0,10,10,1,gloss
ape,,,10,0,10,1,gloss
appeal,,,10,0,10,1,gloss
array,,,10,0,10,1,gloss
askance,,,10,0,10,1,gloss
axe,kuq,axe,10,0,10,1,both
baby,beb,baby,10,0,10,1,both
background,,,0,10,10,1,gloss
barbarian,,,10,0,10,1,gloss
beef,,,0,10,10,1,gloss
beijing,,,10,0,10,1,gloss
bewildered,,,0,10,10,1,gloss
blacken,,,10,0,10,1,gloss
bob,,,0,10,10,1,gloss
bother,,,10,0,10,1,gloss
braise,,,10,0,10,1,gloss
bucket,,,10,0,10,1,gloss
camel,,,10,0,10,1,gloss
canal,,,10,0,10,1,gloss
cash,,,10,0,10,1,gloss
cassava,,,0,10,10,1,gloss
cautious,,,10,0,10,1,gloss
cherry,,,10,0,10,1,gloss
cite,,,10,0,10,1,gloss
clang,,,10,0,10,1,gloss
click,,,10,0,10,1,gloss
colored,,,10,0,10,1,gloss
commentary,,,10,0,10,1,gloss
confess,,,0,10,10,1,gloss
consort,,,0,10,10,1,gloss
conversation,,,0,10,10,1,gloss
convex,,,10,0,10,1,gloss
countryside,,,10,0,10,1,gloss
courtier,,,10,0,10,1,gloss
creek,,,0,10,10,1,gloss
crest,,,0,10,10,1,gloss
cushion,,,0,10,10,1,gloss
damp,,,0,10,10,1,gloss
decisive,,,10,0,10,1,gloss
deficient,,,0,10,10,1,gloss
delete,,,10,0,10,1,gloss
denounce,,,0,10,10,1,gloss
devote,,,10,0,10,1,gloss
difficulty,,,10,0,10,1,gloss
discourse,,,0,10,10,1,gloss
disposition,,,0,10,10,1,gloss
distress,,,10,0,10,1,gloss
donate,,,10,0,10,1,gloss
drain,,,10,0,10,1,gloss
drape,,,10,0,10,1,gloss
dysentery,,,0,10,10,1,gloss
earn,,,10,0,10,1,gloss
elbow,holv,elbow,10,0,10,1,both
entertain,,,0,10,10,1,gloss
erase,,,0,10,10,1,gloss
excel,,,10,0,10,1,gloss
experienced,,,0,10,10,1,gloss
farewell,,,10,0,10,1,gloss
file,,,10,0,10,1,gloss
flabby,,,0,10,10,1,gloss
forth,,,0,10,10,1,gloss
frugal,,,10,0,10,1,gloss
gaping,,,0,10,10,1,gloss
gnaw,,,0,10,10,1,gloss
grandfather,,,10,0,10,1,gloss
grandmother,,,10,0,10,1,gloss
hanging,,,10,0,10,1,gloss
harass,,,0,10,10,1,gloss
herd,,,10,0,10,1,gloss
hero,,,0,10,10,1,gloss
hometown,,,10,0,10,1,gloss
honorable,,,10,0,10,1,gloss
huai,,,10,0,10,1,gloss
husk,,,10,0,10,1,gloss
illusion,,,10,0,10,1,gloss
incite,,,10,0,10,1,gloss
induce,,,10,0,10,1,gloss
innate,,,0,10,10,1,gloss
inscribe,,,10,0,10,1,gloss
inspiration,,,0,10,10,1,gloss
intensifier,,,0,10,10,1,gloss
intercourse,,,10,0,10,1,gloss
intersect,,,10,0,10,1,gloss
justice,,,10,0,10,1,gloss
kite,,,0,10,10,1,gloss
l,,,0,10,10,1,gloss
legal,,,10,0,10,1,gloss
lever,,,0,10,10,1,gloss
liter,,,10,0,10,1,gloss
lizard,zart,lizard,10,0,10,1,both
loft,,,0,10,10,1,gloss
loincloth,,,0,10,10,1,gloss
major,,,10,0,10,1,gloss
manuscript,,,0,10,10,1,gloss
mast,,,10,0,10,1,gloss
matchmaker,,,10,0,10,1,gloss
memorial,,,10,0,10,1,gloss
mention,,,10,0,10,1,gloss
million,,,0,10,10,1,gloss
ming,,,10,0,10,1,gloss
mistaken,,,0,10,10,1,gloss
moreover,,,10,0,10,1,gloss
nominalizer,,,0,10,10,1,gloss
normal,,,10,0,10,1,gloss
omen,,,10,0,10,1,gloss
our,,,0,10,10,1,gloss
package,,,0,10,10,1,gloss
parallel,,,0,10,10,1,gloss
parent,sas,parent,10,0,10,1,both
passive,,,10,0,10,1,gloss
pause,,,10,0,10,1,gloss
peasant,,,10,0,10,1,gloss
performer,,,0,10,10,1,gloss
personnel,,,10,0,10,1,gloss
pin,,,10,0,10,1,gloss
pleasing,,,0,10,10,1,gloss
pointed,,,10,0,10,1,gloss
politics,,,10,0,10,1,gloss
popular,,,10,0,10,1,gloss
positive,,,10,0,10,1,gloss
preliminary,,,0,10,10,1,gloss
rebellion,,,0,10,10,1,gloss
reef,,,10,0,10,1,gloss
renew,,,10,0,10,1,gloss
resin,,,0,10,10,1,gloss
retrieve,,,10,0,10,1,gloss
rubber,,,10,0,10,1,gloss
rustic,,,0,10,10,1,gloss
salty,fos,salty,0,10,10,1,both
satin,,,10,0,10,1,gloss
shang,,,10,0,10,1,gloss
shark,kax,shark,10,0,10,1,both
sheath,,,10,0,10,1,gloss
sieve,,,0,10,10,1,gloss
silly,,,0,10,10,1,gloss
slanted,,,0,10,10,1,gloss
sneak,,,0,10,10,1,gloss
soap,soz,soap,10,0,10,1,both
soothing,,,0,10,10,1,gloss
sparrow,,,10,0,10,1,gloss
sparse,,,10,0,10,1,gloss
specialist,,,0,10,10,1,gloss
squad,,,10,0,10,1,gloss
squint,,,0,10,10,1,gloss
stack,,,0,10,10,1,gloss
standing,,,10,0,10,1,gloss
stare,,,10,0,10,1,gloss
steer,,,0,10,10,1,gloss
stele,,,10,0,10,1,gloss
stock,,,10,0,10,1,gloss
strengthen,,,0,10,10,1,gloss
suburb,,,10,0,10,1,gloss
succeed,,,10,0,10,1,gloss
sugarcane,,,0,10,10,1,gloss
sum,,,10,0,10,1,gloss
surrender,,,10,0,10,1,gloss
symbol,mar,symbol,10,0,10,1,both
tendon,,,0,10,10,1,gloss
tenon,,,10,0,10,1,gloss
territory,,,10,0,10,1,gloss
thatch,,,10,0,10,1,gloss
thrust,,,0,10,10,1,gloss
thump,,,0,10,10,1,gloss
tidy,,,0,10,10,1,gloss
today,,,0,10,10,1,gloss
toe,zalx,toe,10,0,10,1,both
traitor,,,10,0,10,1,gloss
trample,,,0,10,10,1,gloss
triumphant,,,10,0,10,1,gloss
trivial,,,0,10,10,1,gloss
underground,,,0,10,10,1,gloss
union,,,0,10,10,1,gloss
upturned,,,0,10,10,1,gloss
vein,,,10,0,10,1,gloss
vibrate,,,0,10,10,1,gloss
vicious,,,10,0,10,1,gloss
violence,,,10,0,10,1,gloss
wasteland,,,10,0,10,1,gloss
weather,vor,weather,10,0,10,1,both
wicked,,,0,10,10,1,gloss
wilderness,,,10,0,10,1,gloss
willing,,,10,0,10,1,gloss
workshop,,,0,10,10,1,gloss
worst,,,0,10,10,1,gloss
wretched,,,0,10,10,1,gloss
yes,pan,yes,0,10,10,1,both
amphibian,crug,amphibian,0,0,0,0,tune
any,nark,any,0,0,0,0,tune
appendage,dedj,appendage,0,0,0,0,tune
archaea,vant,archaea,0,0,0,0,tune
artist,kub,artist,0,0,0,0,tune
attention,tam,attention,0,0,0,0,tune
b sound,bard,b sound,0,0,0,0,tune
bacteria,brak,bacteria,0,0,0,0,tune
believe,det,believe,0,0,0,0,tune
bleed,beq,bleed,0,0,0,0,tune
bound,gub,bound,0,0,0,0,tune
bread,lom,bread,0,0,0,0,tune
british o vowel sound,corn,british o vowel sound,0,0,0,0,tune
builder,tub,builder,0,0,0,0,tune
butter,bov,butter,0,0,0,0,tune
c sound,crop,c sound,0,0,0,0,tune
cheese,gib,cheese,0,0,0,0,tune
choice,ned,choice,0,0,0,0,tune
coffee,fuz,coffee,0,0,0,0,tune
consonant,ruz,consonant,0,0,0,0,tune
curve,kurv,curve,0,0,0,0,tune
cyan,rif,cyan,0,0,0,0,tune
d sound,drup,d sound,0,0,0,0,tune
danish a vowel sound,klap,danish a vowel sound,0,0,0,0,tune
danish e vowel sound,fren,danish e vowel sound,0,0,0,0,tune
depth,dapc,depth,0,0,0,0,tune
describe,sab,describe,0,0,0,0,tune
desert,dors,desert,0,0,0,0,tune
during,teq,during,0,0,0,0,tune
eleven,cuk,eleven,0,0,0,0,tune
exit,zord,exit,0,0,0,0,tune
f sound,flom,f sound,0,0,0,0,tune
fact,vek,fact,0,0,0,0,tune
fifteen,wez,fifteen,0,0,0,0,tune
fisher,tab,fisher,0,0,0,0,tune
fourteen,tic,fourteen,0,0,0,0,tune
french r sound,rend,french r sound,0,0,0,0,tune
future,tup,future,0,0,0,0,tune
g sound,gard,g sound,0,0,0,0,tune
german i vowel sound,gatx,german i vowel sound,0,0,0,0,tune
gill,gilp,gill,0,0,0,0,tune
glottal stop,plap,glottal stop,0,0,0,0,tune
h sound,hold,h sound,0,0,0,0,tune
happen,hin,happen,0,0,0,0,tune
he,dam,he,0,0,0,0,tune
heal,kum,heal,0,0,0,0,tune
healer,tak,healer,0,0,0,0,tune
height,gik,height,0,0,0,0,tune
host,hum,host,0,0,0,0,tune
hunger,huqk,hunger,0,0,0,0,tune
hunter,yap,hunter,0,0,0,0,tune
imagine,xip,imagine,0,0,0,0,tune
insecta,brig,insecta,0,0,0,0,tune
j sound,jalf,j sound,0,0,0,0,tune
k sound,kliq,k sound,0,0,0,0,tune
l sound,ladj,l sound,0,0,0,0,tune
large c sound,Cork,large C sound,0,0,0,0,tune
larva,larv,larva,0,0,0,0,tune
less,sol,less,0,0,0,0,tune
lightning,laq,lightning,0,0,0,0,tune
lover,nub,lover,0,0,0,0,tune
m sound,morn,m sound,0,0,0,0,tune
magenta,maj,magenta,0,0,0,0,tune
mammal,marm,mammal,0,0,0,0,tune
mate,ment,mate,0,0,0,0,tune
may,kod,may,0,0,0,0,tune
measure,yaj,measure,0,0,0,0,tune
memory,guj,memory,0,0,0,0,tune
multicellular life,drov,multicellular life,0,0,0,0,tune
n sound,natx,n sound,0,0,0,0,tune
nerve,nurv,nerve,0,0,0,0,tune
never,lal,never,0,0,0,0,tune
none,nan,none,0,0,0,0,tune
nut,nes,nut,0,0,0,0,tune
